id,category_id,create_by,create_date,description_detail,description_short,in_featured_product,in_latest_product,in_slidebar,meta_descriptions,meta_keywords,modified_by,modified_date,more_images,price,product_code,product_image,product_name,promotion_price,quantity,status,tax,view_counts
1,2,,2019/1/8 15:40,,"Shiseido The Collagen Enriched bổ sung lượng collagen trả lại vẻ trẻ trung, ngăn ngừa các vết nhăn cũng như nám da, đồi mồi, tàn nhang... Hơn nữa còn bổ sung 18 thành phần thảo dược giúp da hấp thu tốt hơn. Đặc biệt tốt cho phụ nữ trên 40 tuổi, người thiếu hụt nhiều Collagen.",1,1,1,,,,2019/1/8 15:40,Shiseido_001.jpg;Shiseido_001_sub01.jpg; Shiseido_001_sub02.jpg;,800000,Shiseido_001,Shiseido_001.jpg,Collagen Shiseido The Collagen Enriched,750000,100,1,0,
2,2,,2019/1/8 15:40,,"Nước uống The Collagen EX được xem là một loại nước uống tốt cho sức khỏe được nhiều người Nhật Bản tin dùng. Được chiết xuất từ các thành phần thiên nhiên như cá, thảo dược, việt quất ngăn ngừa lão hóa da, giúp da săn chắc và mịn màng.",1,1,1,,,,2019/1/8 15:40,Shiseido_002.jpg;Shiseido_002_sub01.jpg; Shiseido_002_sub02.jpg;,600000,Shiseido_002,Shiseido_002.jpg,Nước uống làm đẹp da Shiseido The Collagen EX,510000,100,1,0,
3,2,,2019/1/8 15:40,,"Nước uống Shiseido The collagen Reclace là thức uống bổ sung collagen cải tiến, với gấp nhiều lần lượng collagen, chống lão hóa da cho các chị em ở độ tuổi từ 30 tuổi.",1,1,1,,,,2019/1/8 15:40,Shiseido_003.jpg;Shiseido_003_sub01.jpg; Shiseido_003_sub02.jpg;,720000,Shiseido_003,Shiseido_003.jpg,Nước uống Shiseido The collagen Reclace,650000,100,1,0,
